price,bedrooms,bathrooms,sqft,location
231300,2,1,1180,98178
538000,3,2.25,2570,98125
180000,2,1,770,98028
604000,4,3,1960,98136
510000,3,2,1680,98074
1.23E+06,4,4.5,5420,98053
257500,3,2.25,1715,98003
291850,3,1.5,1060,98198
229500,3,1,1780,98146
323000,3,2.5,1890,98038
662500,3,2.5,3560,98007
468000,2,1,1160,98115
310000,3,1,1430,98028
400000,3,1.75,1370,98074
530000,5,2,1810,98107
650000,4,3,2950,98126
395000,3,2,1890,98019
485000,4,1,1600,98103
189000,2,1,1200,98002
230000,3,1,1250,98003
385000,4,1.75,1620,98133
2.00E+06,3,2.75,3050,98040
285000,5,2.5,2270,98092
252700,2,1.5,1070,98030
329000,3,2.25,2450,98030
233000,3,2,1710,98002
937000,3,1.75,2450,98119
667000,3,1,1400,98112
438000,3,1.75,1520,98115
719000,4,2.5,2570,98052
580500,3,2.5,2320,98027
280000,2,1.5,1190,98133
687500,4,1.75,2330,98117
535000,3,1,1090,98117
322500,4,2.75,2060,98058
696000,3,2.5,2300,98115
550000,4,1,1660,98052
640000,4,2,2360,98107
240000,4,1,1220,98001
605000,4,2.5,2620,98056
625000,4,2.5,2570,98074
775000,4,2.25,4220,98166
861990,5,2.75,3595,98053
685000,3,1,1570,98119
309000,3,1,1280,98058
488000,3,2.5,3160,98019
210490,3,1,990,98023
785000,4,2.5,2290,98007
450000,3,1.75,1250,98115
1.35E+06,3,2.5,2753,98070
228000,3,1,1190,98148
345000,5,2.5,3150,98056
600000,3,1.75,1410,98117
585000,2,1.75,1980,98117
920000,5,2.25,2730,98105
885000,4,2.5,2830,98105
292500,4,2.5,2250,98042
301000,3,2.5,2420,98042
951000,5,3.25,3250,98008
430000,4,3,1850,98059
650000,3,2.25,2150,98166
289000,3,1.75,1260,98148
505000,3,1.75,2519,98166
549000,3,1.75,1540,98115
425000,3,2.25,1660,98122
317625,3,2.75,2770,98144
975000,4,2.5,2720,98004
287000,4,2.5,2240,98001
204000,3,1,1000,98042
1.33E+06,5,2.25,3200,98004
1.04E+06,5,3.25,4770,98005
325000,3,2,1260,98034
571000,4,2,2750,98125
360000,4,2.5,2380,98038
349000,3,1.75,1790,98042
832500,4,4,3430,98075
380000,4,1.75,1760,98008
480000,3,1,1040,98116
410000,3,1,1410,98133
720000,4,2.5,3450,98010
390000,3,2.5,2350,98038
360000,4,2.5,1900,98038
355000,2,1,2020,98118
356000,3,1.5,1680,98059
315000,3,1,960,98125
940000,3,1.5,2140,98119
305000,5,2.25,2660,98092
461000,3,3.25,2770,98056
215000,2,2.25,1610,98056
335000,2,1.75,1030,98136
243500,4,2.5,1980,98023
1.10E+06,5,2.75,3520,98199
153000,3,1,1200,98023
430000,3,1.5,1580,98117
700000,3,1.5,1580,98117
905000,4,2.5,3300,98040
247500,3,1.75,1960,98032
199000,4,1.5,1160,98023
314000,3,1.75,1810,98038
437500,3,2.5,2320,98045
850830,3,2.5,2070,98102
555000,3,2,1980,98117
699950,3,2.25,2190,98077
1.09E+06,3,2.5,2920,98004
290000,3,1,1210,98058
375000,3,2.5,2340,98058
460000,3,1,1670,98117
188500,2,1.75,1240,98198
680000,4,2.5,3140,98077
470000,5,1.75,2030,98052
597750,4,2.5,2310,98027
570000,3,1.75,1260,98103
272500,3,1.75,1540,98038
329950,3,1.75,2080,98108
480000,4,2.5,3230,98001
740500,3,3.5,4380,98117
518500,3,3.5,1590,98103
205425,2,1,880,98178
171800,4,2,1570,98168
535000,4,1,1610,98144
660000,3,2.5,2400,98177
391500,3,2,1450,98034
395000,2,1,770,98117
445000,4,1.75,2100,98118
770000,3,2.25,2910,98052
1.45E+06,4,2.75,2750,98004
445000,3,2.25,2100,98178
260000,4,2.25,2160,98023
822500,5,3.5,2320,98103
430000,4,2.5,2070,98065
212000,3,1.75,1060,98092
660500,4,2.25,2010,98027
784000,3,3.5,3950,98052
453246,3,2.5,2010,98029
675000,4,3.5,2140,98107
199000,3,1.75,1320,98003
220000,4,1.75,2020,98003
452000,4,2.25,2590,98028
382500,2,1,1190,98125
519950,3,2.25,1170,98107
665000,2,1,1110,98119
527700,5,2.5,2820,98006
205000,3,1,1610,98058
420000,3,1,1060,98133
500000,4,2.25,2030,98006
921500,4,2.5,3670,98077
890000,4,1,2550,98109
430000,2,2.5,2420,98027
258000,5,2,2260,98032
511000,3,1,1430,98103
532170,3,2,1360,98103
560000,3,1,1110,98107
282950,3,1,1250,98003
2.25E+06,4,3.25,5180,98006
350000,1,1,700,98115
215000,3,1,1180,98058
650000,5,3.5,3960,98056
320000,4,2.75,2640,98023
247000,3,2,1270,98022
320000,4,1.75,1760,98059
255000,5,2.25,2060,98146
438000,3,1.75,1780,98034
900000,3,2.5,3400,98075
441000,3,2.75,1910,98034
420000,3,2,2020,98027
370000,3,1.75,1580,98034
269950,2,1.75,1340,98198
807100,4,2.5,2680,98006
653000,3,2.5,2680,98034
371500,3,2,1370,98133
284000,3,1.75,1560,98166
272000,3,1.75,2160,98023
313000,3,1.5,1340,98133
917500,4,2.5,3880,98033
673000,4,2.25,2590,98006
425000,3,2.5,1120,98122
399950,5,2.75,1970,98144
385000,3,1,1220,98122
269950,3,1.5,1950,98022
330000,2,1,1350,98177
260000,3,2.5,1670,98030
470000,4,3,2380,98126
589000,4,3,2440,98034
163500,2,1.5,1050,98038
835000,4,2.75,3130,98052
1.10E+06,5,3,4090,98033
269000,4,1.75,1490,98023
560000,3,2.5,1900,98074
615000,4,1,1330,98103
585188,3,2.25,2230,98052
305000,3,1.75,1650,98034
166950,3,1,1190,98058
799000,3,2.5,2140,98040
400000,3,2.5,2180,98133
230000,3,1,1060,98155
256883,3,2.5,1690,98023
423000,4,2,1970,98108
465000,3,2.5,2150,98126
440000,3,2.5,1910,98024
385000,3,1.75,1350,98038
210000,3,1,860,98056
297000,3,2.5,1940,98042
470000,3,1,1010,98107
226500,3,1.5,1300,98023
274250,3,1,910,98059
840000,4,1.75,2480,98040
677900,3,2.5,2440,98052
425000,3,1,1010,98116
180250,2,0.75,900,98166
464000,6,3,2300,98133
320000,4,2.25,1550,98038
625504,3,2.25,1270,98105
592500,4,2.5,2240,98074
465000,3,2.5,2714,98001
477000,4,2.75,1720,98118
280000,2,1,850,98168
1.51E+06,5,3,3300,98040
445838,3,2.5,2250,98146
1.07E+06,2,2.25,3900,98144
467000,2,1.5,1320,98177
686000,4,2.5,2760,98075
279950,3,2,1750,98198
527000,4,2.25,2330,98011
325000,3,2.25,2220,98030
328000,3,2.25,2020,98038
390000,3,2.25,1250,98146
479950,2,2,1510,98053
264950,4,2.25,1720,98023
235000,3,1,1430,98031
516500,3,2.5,1480,98053
655000,2,1.75,1450,98166
500000,4,2.75,2280,98059
315000,6,2.75,2940,98023
213000,2,1,1000,98024
475000,3,1.5,2480,98108
1.03E+06,5,4,3760,98033
416000,3,2,2220,98010
410000,4,1,1970,98122
800000,3,3.5,3830,98077
472000,6,2.5,4410,98003
225000,3,1.75,1430,98003
210000,2,1,830,98126
455000,2,1,1430,98115
225000,3,1,1300,98002
480000,2,1,1030,98103
363000,3,2.5,2740,98023
2.40E+06,4,2.5,3650,98074
181000,2,1.5,720,98106
250000,4,2,2010,98002
481000,3,1.75,1560,98103
260000,3,2,1810,98032
455000,4,2.5,3360,98058
415000,3,2.25,1510,98045
349500,3,1,1400,98118
245000,3,2.5,1730,98030
592500,2,2,1420,98115
385000,4,1.75,2360,98106
315000,3,1.75,1580,98059
255000,3,1,1230,98045
693000,4,2.5,2460,98052
780000,3,1,1660,98112
237000,3,1.75,1270,98198
525000,3,2.25,2100,98074
425000,2,1,770,98144
369900,1,0.75,760,98070
290000,4,2.5,1700,98031
285000,3,1,1120,98106
415000,2,1,1070,98115
272500,3,2.5,2070,98023
2.90E+06,4,3.25,5050,98004
1.37E+06,4,4.75,5310,98077
436000,2,1,1040,98133
210000,3,1,1700,98003
236000,3,1,1300,98178
331000,3,1.75,1080,98199
365000,3,2.5,2653,98031
450000,3,2,2290,98058
770000,4,2.75,3820,98028
455000,4,2.5,2210,98038
405000,3,1.75,2390,98118
304900,4,1.75,2600,98031
170000,2,1,860,98178
2.05E+06,5,3,3830,98122
780000,4,2.5,3500,98053
330000,3,3,2420,98028
370000,4,2.5,2720,98030
467000,5,2.25,2500,98072
405000,3,1.75,1670,98034
675000,5,2.25,2900,98006
500000,2,1,1640,98006
389999,4,2.5,1890,98166
630000,4,1.75,2950,98034
360000,4,2.5,2160,98001
580000,4,3,3280,98056
550000,3,2,1970,98126
879000,4,2.5,3360,98075
265000,3,2,1320,98042
446500,3,2.5,2650,98059
404000,3,1.5,2030,98108
267500,3,1.75,1590,98188
3.08E+06,4,5,4550,98074
335000,3,2.5,2440,98003
576000,3,2.5,1940,98117
208633,3,2.5,2040,98038
315000,3,2.25,2200,98166
725000,3,1.75,1920,98112
550000,4,2.75,1800,98177
610750,4,2.25,2180,98074
550700,2,1,1010,98105
665000,4,2.75,3320,98056
834000,4,2.5,2370,98144
201000,5,1.75,1660,98065
2.38E+06,5,2.5,3650,98119
1.38E+06,4,3.25,4290,98006
1.40E+06,4,3.25,4290,98006
305000,4,2.25,1950,98058
487000,3,2,2590,98133
390000,3,2.5,1930,98042
548000,2,1,1470,98103
268750,4,1,800,98166
819900,5,2.75,3150,98052
520000,3,2.25,2030,98027
230000,3,2,1450,98001
240000,3,1.75,1510,98023
232000,2,1,1240,98146
240500,2,1,1240,98146
274975,3,2.5,3030,98077
740000,4,2,2050,98102
186375,3,1,1000,98166
790000,3,2.25,2370,98005
880000,4,3.5,2800,98105
279000,6,1.75,2240,98198
295000,3,2,1810,98022
640000,2,1,1070,98103
940000,4,2,2490,98040
260000,4,2.5,1960,98038
559900,3,2.75,2930,98072
791500,4,2,1510,98103
265000,3,1.75,1420,98133
245000,3,1.75,1740,98178
485000,4,1.75,2560,98052
684000,4,3.5,3040,98059
425000,3,1.75,2500,98125
309600,4,1.75,1275,98070
552250,4,2.5,2580,98065
165000,4,1,1000,98178
239900,4,1,1000,98178
320000,2,1,1070,98059
206600,3,2,1390,98030
387000,4,1.75,2500,98155
299000,1,0.75,560,98014
855000,4,2.75,2270,98040
315000,3,1,1900,98166
437500,2,1,990,98103
252000,4,1.5,1550,98001
375000,4,1.75,2200,98118
300000,4,2.5,1910,98038
420000,4,1,1750,98006
900000,3,1,1330,98033
679900,3,2.5,2440,98116
463000,3,2.5,1640,98053
380000,5,2.5,2760,98059
329500,4,2.5,1820,98038
604950,3,2.5,2110,98033
795000,5,2.5,3040,98006
465000,3,2,1840,98045
673000,4,2.5,2990,98166
810000,4,2.5,3520,98074
785000,4,2.75,2440,98075
338000,4,3,2090,98056
280000,3,2.25,1430,98056
315000,4,2.25,2180,98133
530000,4,2.25,2180,98133
380000,5,3,3450,98023
297000,3,2.25,1450,98056
730000,4,2.5,3230,98075
450000,3,1.75,1640,98125
275000,3,3,1590,98038
595000,4,2,2020,98115
435000,3,1.5,1300,98144
270000,2,1.5,1380,98011
950000,3,3,4040,98077
389000,4,2.25,2130,98019
560000,4,2.25,2550,98052
1.35E+06,5,3.5,4800,98006
799000,4,2.25,2510,98040
365500,3,2,1410,98072
252350,3,2,1650,98058
403950,4,2.5,2120,98146
385000,4,1.5,2040,98177
345000,4,1,1550,98106
490000,3,2.75,1980,98008
330000,3,2.5,1600,98019
927000,4,2.75,3300,98004
1.12E+06,4,2.5,3840,98040
330000,2,1,1220,98028
530000,5,2.25,2720,98008
365000,4,2,1940,98006
378750,3,2.5,2160,98118
269900,4,1.75,1530,98058
557000,3,3.5,1710,98122
360000,4,1.75,3730,98022
352000,2,1,940,98117
437000,3,2.5,1750,98045
322500,4,2.5,1820,98038
650000,3,3.25,1510,98116
450000,3,2,1290,98103
278500,3,2,1570,98092
364950,4,2.5,1930,98055
840000,4,3.5,2840,98038
268000,3,2.5,1550,98031
517534,2,1,833,98070
632925,3,2.5,2990,98077
577500,3,2.5,2000,98034
339000,4,1.5,2390,98178
570000,3,1.75,2910,98052
563500,4,1.75,2085,98024
423000,4,2.25,2200,98133
355000,3,2.25,1860,98019
1.55E+06,5,4.25,6070,98024
482000,2,1,950,98103
625000,3,1.75,1600,98006
538000,3,2.5,2250,98056
380000,3,2.5,2280,98058
375000,2,1,940,98122
245000,3,2.5,1530,98038
310000,5,1.75,2190,98166
1.30E+06,3,2,2350,98004
397000,4,2,1440,98034
365000,3,2.5,2200,98058
328500,4,3,2290,98042
988000,4,3,4040,98052
1.00E+06,4,2.5,2610,98103
237000,3,2.5,1490,98055
525000,4,2.5,2450,98011
749000,4,2.5,1710,98006
722500,5,2.5,4870,98074
843000,3,2.5,3130,98052
438000,2,2,1270,98115
578000,3,1.75,2120,98146
227950,3,1.5,1670,98001
196000,3,2.25,2070,98001
641000,2,1,1420,98105
350000,3,1.5,1250,98038
205000,3,1,940,98032
400000,3,1.75,1920,98072
1.03E+06,3,2.5,3545,98027
505000,3,2,1260,98034
475000,5,2.5,2340,98034
520000,3,2.25,2590,98028
1.45E+06,3,4.5,3970,98034
333500,3,1.75,1220,98011
232000,3,1,1400,98038
691100,3,2.75,2360,98006
811000,3,1.75,1870,98040
551000,3,2.5,2830,98028
496500,3,2.5,2260,98072
705000,3,3,1970,98070
578000,4,2.5,3140,98055
255000,3,1.75,1240,98042
1.05E+06,4,3.5,3450,98006
348000,3,2.25,2570,98042
230000,3,2,1510,98031
359500,4,2.25,2390,98023
330000,3,1,980,98133
80000,1,0.75,430,98014
465000,3,1.75,1480,98133
325000,4,2.5,1850,98042
340500,3,2,2270,98168
342500,3,2.5,1810,98038
290900,2,2,1610,98178
868700,3,4.25,3840,98074
1.20E+06,4,2.75,4110,98125
1.15E+06,4,3.25,4190,98074
859900,4,2.75,3390,98074
520000,4,2.25,1890,98029
460000,3,2.5,1610,98118
438924,3,1.5,1050,98115
315000,2,1,630,98126
590000,4,2.75,2910,98033
378500,4,1.75,1700,98006
328500,3,2.5,1950,98042
849950,3,3,2990,98005
525000,3,1.5,1350,98136
1.39E+06,4,3.25,4860,98074
295000,4,2.5,2160,98023
1.07E+06,6,3.5,4860,98006
207950,2,2,890,98118
699900,4,2.75,2810,98075
1.28E+06,5,2.5,3400,98027
452000,4,1.5,1580,98052
370000,3,2,1680,98055
232000,3,1.75,1300,98042
669950,5,2.5,2820,98034
397500,3,2,1510,98034
490000,2,2.5,1230,98112
725000,4,2,2110,98116
299000,3,2.75,3080,98032
625000,2,1.5,1490,98116
437500,3,2.5,2120,98065
650000,4,2.5,3180,98065
475000,2,1,1490,98117
342000,3,2,1930,98042
1.20E+06,4,2.5,2770,98033
280000,3,1.5,1670,98055
240000,2,1.75,1330,98188
529000,3,1,1210,98107
442000,3,1,1190,98136
615000,2,1,1540,98119
1.49E+06,4,3.75,4030,98033
585000,4,1.75,2430,98052
480000,4,2.5,2600,98059
1.10E+06,5,3.5,4410,98053
290000,4,1,1330,98133
615000,3,1.75,1900,98116
300000,2,1,1100,98133
308000,3,1,1980,98030
750000,3,2.5,2400,98033
2.25E+06,4,2.25,4760,98112
890000,4,3.25,3180,98059
288000,3,1,1190,98058
190000,2,1,630,98178
515000,5,3,2530,98133
235000,4,1.5,1690,98055
275000,2,1,940,98126
727500,2,2,1240,98004
650000,4,2.5,3040,98053
1.60E+06,6,5,6050,98024
365000,4,1,1590,98125
662000,3,1.75,2500,98052
270500,3,2.5,1780,98038
200000,2,1.5,1360,98092
970000,4,3.25,4740,98075
160000,3,1.5,1010,98198
204000,3,1,1040,98010
358000,3,2.25,1610,98058
452000,4,1.75,1570,98011
595000,2,2,1510,98103
249000,3,2,1360,98042
346900,4,2.5,1970,98055
2.13E+06,3,2.5,5403,98166
280000,4,2.5,1560,98056
318888,4,1.75,2320,98032
530000,3,2.25,2120,98075
375000,3,2.25,2120,98031
910000,4,2.5,3350,98052
782000,4,2.5,2380,98006
259950,2,2,1070,98106
315000,4,2.75,2300,98058
215000,2,1,1320,98168
705000,3,1.75,2180,98040
1.45E+06,3,3,4380,98199
451000,3,1.75,1790,98155
261000,2,1,750,98055
396000,3,1.5,1300,98028
725000,4,2.5,2990,98059
1.95E+06,7,3.5,4640,98040
238000,4,1,1400,98188
750000,6,1.75,2750,98052
331500,4,2.5,2050,98042
460000,4,3,2230,98065
404950,4,2.25,2340,98092
880000,3,2.5,2870,98103
863000,4,2.5,4120,98074
638700,3,1.75,2080,98005
435000,3,2.5,1840,98053
260000,3,1,1180,98178
671500,5,2.75,2160,98105
610000,3,1,1180,98109
405000,2,0.75,1160,98014
338900,4,2.5,1830,98038
720000,4,4,3200,98075
442000,5,3,2560,98108
650000,5,2.75,2550,98122
263500,3,1.75,1330,98058
300000,2,1,1220,98038
266000,3,2.5,1805,98002
930000,4,4,6050,98077
530000,4,2.5,2320,98028
180000,3,1,1384,98023
619000,3,2.5,2720,98065
264000,3,1.5,1820,98003
730000,2,2.25,2130,98116
439000,4,2.25,2060,98034
268500,4,1.75,1420,98031
330000,3,1.75,1510,98045
640000,3,2.5,2160,98122
900000,3,2.5,3180,98074
370000,3,2.25,2110,98038
685000,3,2,2060,98144
505000,3,1.5,1830,98053
265000,3,1.75,1820,98022
290000,3,2.5,1610,98055
296000,4,2.5,1780,98038
360000,4,2.5,1840,98178
240500,3,1.75,1460,98168
372500,2,2.5,1400,98126
595000,3,2.5,3370,98045
515000,4,3,3590,98023
1.22E+06,4,2.25,3200,98040
507000,2,1.75,1670,98053
399950,4,2,2420,98092
185000,3,1.75,1430,98010
460000,3,1.75,1440,98052
435500,3,2.25,1450,98029
469000,4,2.75,3550,98188
531000,2,3,1270,98103
443500,2,1,940,98177
223000,3,2,1670,98042
590000,4,3.5,3100,98028
340000,2,2.5,1100,98103
650000,3,2,1870,98199
533600,3,2.5,1930,98029
695000,3,2.75,2540,98074
242000,3,1.75,1280,98031
425000,3,2.25,1820,98125
525000,3,2.25,1490,98052
485000,3,2.5,1880,98029
175000,3,1,1250,98045
210000,3,2,1440,98092
260000,3,2.5,1920,98031
577000,3,2.5,2060,98116
200000,3,1.5,1210,98002
605000,2,1.75,1760,98117
325000,3,1,990,98133
289500,3,1,960,98178
559950,3,2.5,1660,98144
1.04E+06,3,1.75,1900,98115
543500,3,2.25,1270,98199
480000,4,2.25,3250,98042
218000,3,1,960,98022
565000,2,1.75,1330,98199
426700,3,1.75,2080,98056
650000,3,2.5,2690,98028
542000,2,1,890,98105
415000,3,1.75,1070,98052
214000,3,1,1200,98002
245000,3,1.5,1360,98188
314500,3,2,2050,98003
1.12E+06,3,1.5,3000,98116
378000,2,2,1300,98136
305000,4,2.5,2250,98001
595000,5,2.75,3740,98028
729500,3,2.5,1660,98116
430000,3,2.5,2360,98065
240000,3,1.75,1760,98038
545000,3,1.75,1680,98136
530000,3,1.75,1320,98105
157000,1,1,870,98198
425000,4,1,1260,98146
220000,3,1,1000,98166
521000,4,1.75,2020,98077
325000,3,1,1920,98118
597500,3,2,2150,98126
337000,3,2.5,1470,98065
1.00E+06,3,2.5,3180,98052
3.07E+06,3,2.5,3930,98034
495000,3,1,990,98105
748000,4,3.5,2770,98052
888000,3,1.5,1250,98004
269900,3,1.75,1140,98045
496500,4,2.5,2250,98027
475000,3,2.5,1640,98155
312000,3,1.5,1255,98125
323000,3,1,1290,98072
331000,3,1.75,1300,98059
306000,3,1.5,1220,98133
655000,4,2.5,2630,98117
290000,3,1.5,1950,98003
1.25E+06,4,3.25,3160,98105
460000,3,1.75,1550,98115
435000,4,2.5,1700,98115
664000,4,2.75,2510,98006
865000,4,1.75,1800,98102
385000,3,1.75,1800,98058
497000,3,2.25,1870,98034
280000,2,1,1010,98045
188000,2,1.5,1120,98178
478500,3,1,2090,98136
1.15E+06,4,3.5,4370,98065
222000,3,2,1440,98023
799000,4,3,2580,98053
609900,4,2.5,3190,98038
413000,4,3.5,2380,98106
400000,4,1,1420,98115
802541,5,2.75,2990,98006
320000,3,2.5,2680,98023
507000,4,2.5,2730,98065
387500,3,1,1220,98115
396000,3,1,1500,98072
373000,3,1.75,1830,98055
1.48E+06,5,2.5,4570,98040
359900,4,2.25,2470,98058
410000,2,1,800,98115
690000,4,2.5,2900,98053
245000,3,2,1410,98030
700000,5,2.5,2830,98075
268000,4,1.75,1680,98198
225000,3,1.75,1760,98042
980000,4,2.25,2240,98004
795000,2,1,1380,98106
195000,2,1,820,98118
480000,4,2,2180,98005
485000,4,2,1400,98119
130000,2,1,880,98188
325000,2,1,1060,98198
440000,3,1.75,1530,98034
550000,4,1.75,2480,98155
310000,3,1.75,1490,98059
530000,3,2.5,3660,98022
390000,4,2.5,2340,98031
243000,3,1.75,1450,98001
639000,4,2.5,2210,98074
215000,4,1,1130,98003
405000,5,1.75,1550,98011
250000,4,1.75,1710,98032
405500,3,1.5,1010,98155
452000,6,2.25,2660,98125
730000,6,2.25,2660,98125
267000,3,2,1300,98010
289950,3,2.5,1670,98038
565000,2,1,960,98103
1.58E+06,4,3.25,4670,98005
636000,3,2.5,2140,98052
350000,5,3,2520,98178
320000,3,1.5,1650,98058
210000,2,1.75,1440,98198
245000,2,1,1050,98126
328000,3,1.75,1470,98059
985000,4,2.25,4230,98077
501000,3,1.75,1970,98055
315000,3,2.25,1540,98045
403000,3,2.75,2090,98019
550000,3,2,2380,98155
347500,4,2.5,2156,98030
365000,4,2.25,2070,98058
588000,3,1,1910,98117
605000,3,1.75,1920,98006
1.30E+06,3,3.25,3400,98105
233000,3,2,1400,98001
360000,4,2.5,2210,98030
459000,2,1.75,1170,98117
740000,3,2,2100,98077
305000,3,1,1160,98077
395000,3,1,1500,98117
560000,4,2.5,2940,98011
650000,4,1.75,2010,98116
449950,3,2.5,2170,98028
517500,3,1.5,1430,98117
435000,4,1.5,1510,98034
329999,3,1,1150,98155
950000,3,1.75,2150,98116
447000,3,1,1370,98108
699800,2,2.5,2380,98053
850000,3,1.75,1370,98112
316500,3,1.75,1600,98023
942500,5,3.5,3750,98006
1.31E+06,2,2.25,3950,98116
856600,4,2.25,2400,98005
405600,5,1.5,2830,98118
565000,4,2.5,2440,98053
400000,3,2.25,1190,98116
330000,3,2,1400,98019
374950,4,2.75,2730,98038
405300,3,2.75,2390,98056
560000,3,2.25,2060,98074
824000,4,2.25,2490,98004
260000,3,1.75,1100,98042
760000,4,2.5,2430,98115
405000,3,2.5,3170,98023
429900,4,2.5,2640,98058
341500,3,1.5,1130,98056
465250,5,2,1940,98177
450000,2,2,1100,98117
390000,3,1,1200,98006
420000,3,2.25,2000,98008
269950,3,2.5,1890,98168
493000,4,2,1910,98122
370000,4,2.5,2710,98092
2.25E+06,5,4.25,4860,98112
305000,3,1,1250,98059
400000,3,1.75,1590,98034
320000,3,1.5,1240,98133
